team,conference,wins,losses,win_pct,srs,sos,conf_wins,conf_losses,home_wins,home_losses,away_wins,away_losses
Virginia,ACC,35,3,0.921,24.87,9.65,16,2,15,1,20,2
Gonzaga,WCC,33,4,0.892,24.32,8.32,16,0,16,0,17,4
Duke,ACC,32,6,0.842,23.76,9.87,14,4,15,1,17,5
Michigan State,Big Ten,32,7,0.821,23.21,10.54,16,4,17,1,15,6
North Carolina,ACC,29,7,0.806,22.87,10.10,16,2,15,1,14,6
Kentucky,SEC,30,7,0.811,22.43,9.76,15,3,17,0,13,7
Tennessee,SEC,31,6,0.838,22.10,9.43,15,3,18,0,13,6
Michigan,Big Ten,30,7,0.811,21.87,10.32,15,5,17,1,13,6
Texas Tech,Big 12,31,7,0.816,21.54,10.87,14,4,17,1,14,6
Purdue,Big Ten,26,10,0.722,21.21,10.65,16,4,15,2,11,8
Houston,AAC,33,4,0.892,20.98,8.10,16,2,15,0,18,4
Virginia Tech,ACC,26,9,0.743,20.65,9.98,12,6,15,1,11,8
Auburn,SEC,30,10,0.750,20.32,9.54,11,7,15,2,15,8
Kansas,Big 12,26,10,0.722,20.10,11.21,12,6,16,1,10,9
Florida State,ACC,29,8,0.784,19.87,9.76,13,5,15,1,14,7
LSU,SEC,28,7,0.800,19.65,9.32,16,2,16,1,12,6
Wisconsin,Big Ten,23,11,0.676,19.43,10.87,14,6,13,2,10,9
Kansas State,Big 12,25,9,0.735,19.21,10.65,14,4,15,1,10,8
Villanova,Big East,26,10,0.722,19.10,10.21,13,5,14,1,12,9
Wofford,SoCon,30,5,0.857,18.87,6.54,18,0,15,1,15,4
Maryland,Big Ten,23,11,0.676,18.65,10.54,13,7,15,2,8,9
Cincinnati,AAC,28,7,0.800,18.43,8.32,14,4,18,0,10,7
Mississippi State,SEC,23,11,0.676,18.21,9.65,10,8,18,1,5,10
Iowa State,Big 12,23,12,0.657,18.10,10.98,9,9,14,3,9,9
Louisville,ACC,20,14,0.588,17.87,10.21,10,8,14,4,6,10
Nevada,MWC,29,5,0.853,17.65,7.32,15,3,15,1,14,4
Buffalo,MAC,32,4,0.889,17.43,6.87,16,2,14,1,18,3
VCU,A-10,25,8,0.758,17.21,7.54,16,2,16,1,9,7
Iowa,Big Ten,23,12,0.657,17.10,10.76,10,10,16,1,7,11
Washington,Pac-12,27,9,0.750,16.87,8.76,15,3,15,2,12,7
UCF,AAC,24,9,0.727,16.65,8.54,13,5,14,2,10,7
Syracuse,ACC,20,14,0.588,16.43,10.43,10,8,13,4,7,10
Marquette,Big East,24,10,0.706,16.21,9.98,12,6,16,1,8,9
Utah State,MWC,28,7,0.800,16.10,7.10,15,3,14,1,14,6
Baylor,Big 12,20,14,0.588,15.87,11.10,10,8,13,3,7,11
Minnesota,Big Ten,22,14,0.611,15.65,11.32,9,11,14,2,8,12
Ole Miss,SEC,20,13,0.606,15.43,9.87,10,8,13,3,7,10
Oklahoma,Big 12,20,14,0.588,15.21,11.43,7,11,12,4,8,10
Ohio State,Big Ten,20,15,0.571,15.10,11.65,8,12,13,4,7,11
Seton Hall,Big East,20,14,0.588,14.87,10.43,9,9,13,3,7,11
Arizona State,Pac-12,23,11,0.676,14.65,9.10,12,6,13,3,10,8
St. John's,Big East,21,13,0.618,14.43,10.32,8,10,13,4,8,9
Florida,SEC,20,16,0.556,14.21,10.10,9,9,10,6,10,10
Murray State,OVC,28,5,0.848,14.10,5.43,16,2,14,1,14,4
Saint Louis,A-10,23,13,0.639,13.87,7.87,10,8,15,3,8,10
Belmont,OVC,27,6,0.818,13.65,5.21,16,2,14,1,13,5
Liberty,ASUN,29,7,0.806,13.43,4.87,14,2,14,1,15,6
UC Irvine,Big West,31,6,0.838,13.21,5.10,15,1,15,1,16,5
Vermont,AEC,27,7,0.794,13.10,4.65,14,2,13,1,14,6
Yale,Ivy,22,8,0.733,12.87,5.32,10,4,11,2,11,6
New Mexico State,WAC,30,5,0.857,12.65,4.32,15,1,15,1,15,4
Northern Kentucky,Horizon,26,9,0.743,12.43,5.65,14,4,15,2,11,7
Montana,Big Sky,26,9,0.743,12.21,4.98,16,4,14,1,12,8
Old Dominion,CUSA,26,9,0.743,12.10,5.43,13,5,15,2,11,7
Colgate,Patriot,24,11,0.686,11.87,5.10,13,5,14,2,10,9
Gardner-Webb,Big South,23,12,0.657,11.65,4.76,10,6,13,3,10,9
Abilene Christian,Southland,27,7,0.794,11.43,3.87,14,4,16,1,11,6
Bradley,MVC,20,15,0.571,11.21,6.32,9,9,12,4,8,11
Georgia State,Sun Belt,24,10,0.706,11.10,4.54,13,5,14,2,10,8
Iona,MAAC,17,16,0.515,10.87,6.10,12,6,9,4,8,12
Fairleigh Dickinson,NEC,21,14,0.600,10.65,5.32,12,6,11,3,10,11
North Dakota State,Summit,19,16,0.543,10.43,5.65,9,7,10,4,9,12
