team,conference,wins,losses,win_pct,srs,sos,conf_wins,conf_losses,home_wins,home_losses,away_wins,away_losses
Arizona,Pac-12,33,4,0.892,23.12,9.87,18,2,17,0,12,3
Gonzaga,WCC,28,4,0.875,24.53,8.92,13,1,16,0,8,3
Kansas,Big 12,34,6,0.850,21.76,11.23,14,4,16,1,10,5
Baylor,Big 12,27,7,0.794,20.89,10.56,14,4,15,1,8,6
Villanova,Big East,30,8,0.789,19.45,9.78,16,4,12,2,10,4
Duke,ACC,32,7,0.821,18.87,8.45,16,4,15,1,10,5
Kentucky,SEC,26,8,0.765,18.34,9.12,14,4,18,0,7,7
Auburn,SEC,28,6,0.824,17.98,8.76,15,3,16,0,8,5
Purdue,Big Ten,29,8,0.784,17.65,10.23,14,6,16,1,8,6
UCLA,Pac-12,27,8,0.771,17.32,9.45,15,5,14,1,8,6
Texas Tech,Big 12,27,10,0.730,17.21,10.87,12,6,18,0,6,8
Houston,AAC,32,6,0.842,16.98,7.65,15,3,16,0,9,5
Illinois,Big Ten,23,10,0.697,16.76,10.34,15,5,15,2,6,7
Tennessee,SEC,27,8,0.771,16.54,8.98,14,4,16,0,8,7
Arkansas,SEC,28,9,0.757,16.32,9.21,13,5,17,1,7,7
North Carolina,ACC,29,10,0.744,16.10,8.76,15,5,15,3,9,6
Providence,Big East,27,6,0.818,15.87,9.32,14,3,16,1,8,4
Connecticut,Big East,23,10,0.697,15.65,9.87,13,6,14,2,6,7
LSU,SEC,22,12,0.647,15.43,9.54,9,9,15,2,5,9
Michigan,Big Ten,19,15,0.559,15.21,10.65,11,9,11,4,5,10
Saint Mary's,WCC,26,8,0.765,15.10,7.87,12,3,16,0,7,6
Wisconsin,Big Ten,25,8,0.758,14.98,10.21,15,5,15,1,8,6
Ohio State,Big Ten,20,12,0.625,14.76,10.43,12,8,14,2,4,9
Iowa,Big Ten,26,10,0.722,14.54,9.87,12,8,15,1,7,8
Seton Hall,Big East,21,11,0.656,14.32,9.65,11,8,13,2,6,8
TCU,Big 12,21,13,0.618,14.10,10.76,8,10,13,3,5,9
Creighton,Big East,23,12,0.657,13.87,9.54,12,7,13,2,7,9
Murray State,OVC,31,3,0.912,13.65,5.43,18,0,16,0,13,2
Miami,ACC,26,11,0.703,13.43,8.87,14,6,14,2,8,8
Boise State,MWC,27,8,0.771,13.21,7.65,15,3,14,1,10,6
San Diego State,MWC,23,9,0.719,13.10,7.54,13,4,14,1,7,7
Marquette,Big East,19,13,0.594,12.98,9.76,11,8,12,3,5,9
Memphis,AAC,22,11,0.667,12.76,7.87,13,5,13,2,6,8
USC,Pac-12,26,8,0.765,12.54,8.32,14,6,14,1,9,6
Michigan State,Big Ten,23,13,0.639,12.32,10.54,11,9,14,2,6,10
Notre Dame,ACC,24,11,0.686,12.10,8.65,15,5,14,1,8,9
Texas,Big 12,22,12,0.647,11.87,10.43,10,8,17,1,3,10
Alabama,SEC,19,14,0.576,11.65,9.32,9,9,13,3,4,10
Davidson,A-10,27,7,0.794,11.43,6.87,15,3,14,1,10,5
Iowa State,Big 12,22,13,0.629,11.21,10.65,7,11,13,2,6,10
Virginia Tech,ACC,23,13,0.639,11.10,8.76,11,9,12,3,8,9
Loyola Chicago,MVC,25,8,0.758,10.98,5.65,13,5,14,1,8,6
Colorado State,MWC,25,6,0.806,10.76,6.54,14,4,14,1,9,4
Richmond,A-10,24,13,0.649,10.54,6.98,10,8,15,2,7,10
UAB,CUSA,27,8,0.771,10.32,4.87,14,4,17,0,8,7
San Francisco,WCC,24,10,0.706,10.10,7.32,10,6,14,2,7,7
Vermont,AEC,28,6,0.824,9.87,3.65,17,1,15,0,11,5
Chattanooga,SoCon,27,8,0.771,9.65,4.32,14,4,15,1,10,6
South Dakota State,Summit,30,5,0.857,9.43,3.21,18,0,15,0,13,4
Longwood,Big South,26,7,0.788,9.21,2.87,15,1,16,0,8,6
New Mexico State,WAC,27,7,0.794,9.10,3.54,14,4,14,1,10,5
Montana State,Big Sky,27,8,0.771,8.98,3.21,16,4,14,1,11,6
Yale,Ivy,19,12,0.613,8.76,4.32,11,3,10,3,7,8
Colgate,Patriot,23,12,0.657,8.54,3.87,16,2,13,2,8,9
Delaware,CAA,22,13,0.629,8.32,3.65,10,8,12,3,8,9
Wright State,Horizon,22,14,0.611,8.10,4.21,15,7,13,3,7,10
Cal State Fullerton,Big West,21,11,0.656,7.87,3.98,11,5,12,2,7,8
Jacksonville State,ASUN,21,11,0.656,7.65,3.54,13,3,13,1,6,9
Norfolk State,MEAC,24,7,0.774,7.43,2.87,12,2,14,0,8,6
Georgia State,Sun Belt,18,11,0.621,7.21,3.76,9,9,10,2,6,8
Texas Southern,SWAC,19,13,0.594,7.10,3.21,13,5,9,3,8,9
